Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
480,14593,16,5,110.1,8.5,incident,37,62,12.93,12.93,12.93,527.04,132.04,100.0,12.54,12.54,12.54,549.47,65.58,100.0,13.46,13.46,13.46,609.47,0.04,100.0,-3.11,-3.11,Classical PSO,3.98,3.98,QPSO
481,81131,10,4,94.2,8.0,rush_hour,39,42,15.81,15.81,15.81,397.31,22.82,100.0,16.61,16.61,16.61,405.73,15.61,100.0,18.43,18.43,18.43,492.76,0.01,100.0,4.76,4.76,QPSO,14.18,14.18,QPSO
482,9301,14,5,70.6,18.0,rush_hour,41,73,12.13,12.13,12.13,474.38,54.21,100.0,13.46,13.46,13.46,539.56,33.03,100.0,15.88,15.88,15.88,681.22,0.01,100.0,9.9,9.9,QPSO,23.63,23.63,QPSO
483,91209,19,6,91.6,13.0,rush_hour,45,64,14.01,14.01,14.01,601.63,57.42,100.0,16.22,16.22,16.22,746.77,33.28,100.0,17.53,17.53,17.53,756.53,0.07,100.0,13.65,13.65,QPSO,20.08,20.08,QPSO
484,20484,18,7,70.6,17.5,rush_hour,40,50,19.74,19.74,19.74,813.33,39.67,100.0,19.98,19.98,19.98,825.83,27.47,100.0,23.73,23.73,23.73,950.31,0.01,100.0,1.21,1.21,QPSO,16.84,16.84,QPSO
485,10812,17,6,82.0,8.0,incident,32,75,15.7,15.7,15.7,620.18,76.9,100.0,15.85,15.85,15.85,611.59,40.62,100.0,18.7,18.7,18.7,748.32,0.11,100.0,0.95,0.95,QPSO,16.06,16.06,QPSO
486,85320,16,4,110.9,13.0,rush_hour,43,68,13.6,13.6,13.6,525.98,62.21,100.0,14.35,14.35,14.35,582.28,43.42,100.0,18.03,18.03,18.03,736.97,0.01,100.0,5.28,5.28,QPSO,24.58,24.58,QPSO
487,12536,17,5,85.8,18.0,incident,25,46,15.68,15.68,15.68,612.63,36.46,100.0,17.96,17.96,17.96,764.17,24.0,100.0,17.5,17.5,17.5,679.32,0.01,100.0,12.67,12.67,QPSO,10.38,10.38,QPSO
488,53879,16,5,97.9,8.0,incident,44,80,14.13,14.13,14.13,535.0,53.1,100.0,16.06,16.06,16.06,649.1,46.7,100.0,21.24,21.24,21.24,905.12,0.01,100.0,11.99,11.99,QPSO,33.48,33.48,QPSO
489,40924,18,5,102.7,9.0,rush_hour,26,54,19.79,19.79,19.79,637.4,41.4,100.0,22.14,22.14,22.14,718.12,29.39,100.0,26.05,26.05,26.05,849.34,0.01,100.0,10.6,10.6,QPSO,24.04,24.04,QPSO
490,60566,15,5,105.8,18.0,rush_hour,28,46,10.42,10.42,10.42,460.4,28.92,100.0,8.81,8.81,8.81,367.66,22.69,100.0,12.34,12.34,12.34,527.05,0.01,100.0,-18.2,-18.2,Classical PSO,15.6,15.6,QPSO
491,87364,13,5,87.1,17.5,incident,36,46,9.35,9.35,9.35,426.31,27.48,100.0,10.04,10.04,10.04,423.12,20.27,100.0,14.94,14.94,14.94,649.03,0.01,100.0,6.84,6.84,QPSO,37.42,37.42,QPSO
492,7000,12,5,77.0,8.0,rush_hour,44,52,17.97,17.97,17.97,575.1,35.24,100.0,17.86,17.86,17.86,563.53,28.29,100.0,20.3,20.3,20.3,628.61,0.02,100.0,-0.59,-0.59,Classical PSO,11.52,11.52,QPSO
493,25581,11,4,80.8,18.0,rush_hour,28,66,9.7,9.7,9.7,430.77,40.49,100.0,9.7,9.7,9.7,430.77,32.42,100.0,12.3,12.3,12.3,565.64,0.12,100.0,0.0,0.0,Tie,21.11,21.11,QPSO
494,7094,20,5,108.6,13.0,incident,43,72,15.39,15.39,15.39,662.88,75.01,100.0,17.41,17.41,17.41,760.39,37.85,100.0,18.63,18.63,18.63,794.98,0.01,100.0,11.61,11.61,QPSO,17.38,17.38,QPSO
495,18647,17,5,96.5,17.5,rush_hour,43,70,14.06,14.06,14.06,610.14,61.29,100.0,16.69,16.69,16.69,698.79,49.43,100.0,18.7,18.7,18.7,827.53,0.01,100.0,15.74,15.74,QPSO,24.8,24.8,QPSO
496,67628,12,3,106.5,8.0,rush_hour,44,78,16.27,16.27,16.27,382.07,62.0,100.0,17.36,17.36,17.36,418.18,55.77,100.0,22.45,22.45,22.45,550.24,0.01,100.0,6.26,6.26,QPSO,27.53,27.53,QPSO
497,43184,18,5,90.9,9.0,rush_hour,35,58,22.76,22.76,22.76,564.96,43.73,100.0,24.93,24.93,24.93,658.81,36.37,100.0,24.79,24.79,24.79,628.87,0.01,100.0,8.7,8.7,QPSO,8.19,8.19,QPSO
