Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
31,35760,15,6,95.4,17.5,incident,35,29,17.26,17.26,15.26,650.93,11.31,100.0,16.84,16.84,14.84,674.26,8.32,100.0,20.38,20.38,18.38,759.41,0.0,100.0,-2.49,-2.83,Classical PSO,15.35,17.02,QPSO
32,25890,12,3,128.1,18.0,rush_hour,21,26,10.64,10.64,9.14,383.55,6.2,100.0,10.73,10.73,9.23,374.08,7.25,100.0,12.48,12.48,11.48,497.26,0.01,100.0,0.87,1.02,QPSO,14.74,20.38,QPSO
33,77569,15,6,73.4,8.5,uniform,22,46,18.55,18.55,16.55,652.51,14.15,100.0,17.55,17.55,15.05,590.58,12.29,100.0,19.69,19.69,17.69,700.56,0.01,100.0,-5.65,-9.91,Classical PSO,5.82,6.48,QPSO
34,31828,14,4,126.5,17.5,incident,21,44,14.03,14.03,12.53,492.94,11.76,100.0,14.14,14.14,12.64,460.1,8.64,100.0,16.31,16.31,14.81,543.0,0.0,100.0,0.81,0.9,QPSO,13.99,15.41,QPSO
35,11745,14,4,126.1,18.0,incident,30,32,11.84,11.84,10.34,391.72,9.91,100.0,10.34,10.34,8.84,331.85,13.15,100.0,13.62,13.62,12.12,464.99,0.01,100.0,-14.47,-16.92,Classical PSO,13.05,14.66,QPSO
36,35814,14,5,110.3,13.0,rush_hour,22,25,13.23,13.23,11.73,461.44,8.16,100.0,14.17,14.17,12.67,456.99,4.94,100.0,17.16,17.16,15.66,666.33,0.01,100.0,6.63,7.42,QPSO,22.88,25.07,QPSO
37,61068,17,6,74.4,17.5,rush_hour,24,36,15.77,15.77,13.27,569.63,15.41,100.0,18.78,18.78,16.28,763.52,14.96,100.0,18.96,18.96,16.46,725.28,0.01,100.0,15.98,18.44,QPSO,16.82,19.38,QPSO
38,10016,11,5,87.1,17.5,incident,29,44,9.7,9.7,8.2,364.03,20.11,100.0,9.7,9.7,8.2,364.03,16.05,100.0,10.59,10.59,9.09,390.89,0.01,100.0,0.0,0.0,Tie,8.48,9.87,QPSO
39,86717,16,6,110.1,9.0,incident,23,29,15.36,15.36,13.36,536.84,11.36,100.0,16.54,16.54,14.54,620.64,5.6,100.0,21.19,21.19,19.19,740.56,0.01,100.0,7.16,8.14,QPSO,27.51,30.37,QPSO
40,35664,9,3,114.5,9.0,rush_hour,26,47,10.73,10.73,9.73,290.61,14.76,100.0,10.94,10.94,9.94,320.25,13.06,100.0,11.63,11.63,10.63,326.17,0.0,100.0,2.0,2.2,QPSO,7.77,8.5,QPSO
