Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
14663,7773,13,4,85.4,17.5,incident,44,44,12.89,12.89,12.89,570.72,23.34,100.0,13.75,13.75,13.75,628.92,184.67,100.0,14.43,14.43,14.43,675.74,0.02,100.0,6.31,6.31,QPSO,10.68,10.68,QPSO
14664,13698,20,6,94.2,8.5,uniform,33,66,21.58,21.58,21.58,873.17,57.21,100.0,23.07,23.07,23.07,995.78,124.7,100.0,21.58,21.58,21.58,873.17,0.01,100.0,6.49,6.49,QPSO,0.0,0.0,Tie
14665,4004,11,5,111.0,9.0,rush_hour,39,40,15.63,15.63,15.63,491.04,17.79,100.0,16.92,16.92,16.92,529.99,16.53,100.0,61.51,61.51,19.26,582.61,0.01,0.0,7.59,7.59,QPSO,74.58,18.84,QPSO
14666,76613,14,5,77.0,9.0,uniform,38,47,14.42,14.42,17.02,714.15,29.84,0.0,14.47,14.47,14.47,583.01,19.66,100.0,17.5,17.5,17.5,750.39,0.01,100.0,0.29,-17.68,QPSO,17.6,2.75,QPSO
14667,88434,14,5,90.5,8.5,incident,31,74,11.09,11.09,11.09,509.14,86.66,100.0,13.37,13.37,13.37,598.46,110.15,100.0,48.21,48.21,14.89,654.72,0.01,0.0,17.06,17.06,QPSO,76.99,25.52,QPSO
14668,73364,18,7,71.1,9.0,rush_hour,32,54,24.82,24.82,24.82,854.88,86.17,100.0,28.94,28.94,28.94,933.39,56.91,100.0,25.2,25.2,25.2,867.66,0.01,100.0,14.23,14.23,QPSO,1.49,1.49,QPSO
14669,38285,17,5,85.7,8.5,rush_hour,35,50,26.74,26.74,26.74,798.54,74.19,100.0,28.42,28.42,28.42,765.28,64.8,100.0,31.01,31.01,31.01,961.79,0.01,100.0,5.89,5.89,QPSO,13.75,13.75,QPSO
14670,91413,19,6,93.5,8.5,uniform,27,44,15.19,15.19,15.19,615.97,44.0,100.0,17.95,17.95,17.95,749.88,61.13,100.0,20.95,20.95,16.4,659.89,0.01,0.0,15.37,15.37,QPSO,27.51,7.42,QPSO
14671,68276,15,4,109.3,18.0,uniform,45,78,15.11,15.11,15.11,600.57,73.87,100.0,16.21,16.21,16.21,613.13,95.14,100.0,15.72,15.72,15.72,613.89,0.01,100.0,6.78,6.78,QPSO,3.91,3.91,QPSO
14672,96354,13,4,83.0,18.0,rush_hour,41,57,10.5,10.5,10.5,436.06,71.55,100.0,10.55,10.55,10.55,490.61,62.47,100.0,11.76,11.76,11.76,522.17,0.08,100.0,0.49,0.49,QPSO,10.72,10.72,QPSO
14673,42603,13,4,84.9,9.0,rush_hour,41,52,20.21,20.21,20.21,537.46,79.34,100.0,20.45,20.45,20.45,609.15,60.81,100.0,22.18,22.18,22.18,674.53,0.01,100.0,1.16,1.16,QPSO,8.89,8.89,QPSO
14674,38966,15,6,74.8,18.0,uniform,32,73,13.37,13.37,13.37,539.78,92.2,100.0,13.89,13.89,13.89,576.17,89.56,100.0,16.6,16.6,16.6,736.91,0.01,100.0,3.72,3.72,QPSO,19.47,19.47,QPSO
14675,58399,13,3,110.8,8.0,uniform,30,67,12.86,12.86,12.86,528.22,78.48,100.0,13.08,13.08,13.08,541.37,81.22,100.0,14.85,14.85,14.85,609.51,0.02,100.0,1.68,1.68,QPSO,13.38,13.38,QPSO
14676,81568,18,5,110.0,13.0,rush_hour,36,60,15.96,15.96,15.96,661.89,85.86,100.0,15.96,15.96,15.96,738.43,67.12,100.0,16.81,16.81,16.81,766.1,0.01,100.0,-0.0,-0.0,Classical PSO,5.08,5.08,QPSO
14677,93014,10,4,115.0,17.5,rush_hour,32,57,7.38,7.38,7.38,365.14,50.05,100.0,8.18,8.18,8.18,424.24,53.3,100.0,80.41,80.41,8.96,453.12,0.01,0.0,9.88,9.88,QPSO,90.83,17.66,QPSO
14678,39765,13,5,89.5,17.5,incident,45,42,12.53,12.53,12.53,544.22,47.62,100.0,13.9,13.9,13.9,602.07,47.03,100.0,15.12,15.12,15.12,639.32,0.01,100.0,9.9,9.9,QPSO,17.13,17.13,QPSO
14679,21461,12,5,87.3,18.0,uniform,35,65,11.18,11.18,11.18,524.32,78.02,100.0,11.17,11.17,11.17,490.18,76.36,100.0,14.03,14.03,14.03,609.78,0.01,100.0,-0.03,-0.03,Classical PSO,20.31,20.31,QPSO
14680,13150,14,5,89.7,18.0,uniform,33,76,12.67,12.67,12.67,542.35,103.96,100.0,13.21,13.21,13.21,552.0,63.76,100.0,13.04,13.04,13.04,540.25,0.01,100.0,4.07,4.07,QPSO,2.87,2.87,QPSO
14681,99523,18,5,90.9,13.0,rush_hour,31,77,19.96,19.96,19.96,902.52,87.88,100.0,19.27,19.27,19.27,817.87,96.22,100.0,245219.56,245219.56,17.55,790.58,0.1,0.0,-3.59,-3.59,Classical PSO,99.99,-13.77,QPSO
14682,26639,19,7,70.7,8.5,incident,34,57,16.33,16.33,17.47,761.5,66.33,0.0,19.32,19.32,19.32,806.3,68.75,100.0,28.86,28.86,17.47,761.5,0.01,0.0,15.46,9.57,QPSO,43.41,0.0,QPSO
14683,52291,14,4,109.5,18.0,uniform,45,58,12.81,12.81,12.81,544.34,65.62,100.0,12.04,12.04,12.04,477.03,55.64,100.0,21.31,21.31,14.83,546.45,0.01,0.0,-6.37,-6.37,Classical PSO,39.88,13.59,QPSO
14684,21188,14,5,82.6,8.0,uniform,25,63,13.6,13.6,13.6,544.48,63.74,100.0,16.63,16.63,16.63,683.63,50.36,100.0,17.02,17.02,17.02,676.49,0.01,100.0,18.24,18.24,QPSO,20.09,20.09,QPSO
14685,54550,11,5,75.4,13.0,rush_hour,41,68,10.7,10.7,10.7,390.54,90.78,100.0,10.7,10.7,10.7,390.54,74.14,100.0,13.0,13.0,13.0,542.84,0.06,100.0,0.0,0.0,Tie,17.68,17.68,QPSO
14686,2373,20,5,101.4,17.5,incident,43,66,17.04,17.04,17.04,639.65,89.91,100.0,20.07,20.07,20.07,778.72,85.31,100.0,17.35,17.35,17.35,646.98,0.01,100.0,15.09,15.09,QPSO,1.8,1.8,QPSO
14687,6730,18,5,109.4,8.5,uniform,29,79,15.97,15.97,15.97,639.24,107.45,100.0,16.37,16.37,16.37,694.02,74.02,100.0,102.4,102.4,16.91,660.16,0.53,0.0,2.46,2.46,QPSO,84.4,5.57,QPSO
14688,56858,20,5,101.7,18.0,uniform,44,47,22.88,22.88,22.63,944.97,59.19,0.0,21.17,21.17,21.17,927.21,53.1,100.0,51.47,51.47,22.72,997.81,0.02,0.0,-8.1,-6.88,Classical PSO,55.54,0.42,QPSO
14689,2624,14,5,78.3,17.5,incident,36,41,14.97,14.97,14.97,517.81,58.79,100.0,13.77,13.77,13.77,484.11,41.86,100.0,15.41,15.41,15.41,551.24,0.01,100.0,-8.72,-8.72,Classical PSO,2.83,2.83,QPSO
14690,51257,15,4,100.2,8.0,uniform,37,42,10.9,10.9,10.9,485.2,37.25,100.0,13.06,13.06,13.06,512.87,38.36,100.0,11.5,11.5,11.5,490.16,0.01,100.0,16.53,16.53,QPSO,5.18,5.18,QPSO
